d100,Entry
55,An cold-iron nail twisted into the shape of a holy symbol.
56,"A set of jadeite bangles with silver clasps, meant to be worn on the wrist."
57,"A small, perfectly round crystal sphere, with a strangely shaped gold piece embedded in the center. The coin is from a distant and ancient kingdom."
58,A chain of rose gold and nine tiny rose gold bells in the shape of acorns.
59,"A tiny, carved, rock crystal swan."
60,"A two sided red and white chalcedony cameo necklace, banded with gold. The carving is of a pastoral scene on one side, and a snarling beast on the other."
61,"A necklace of gold braid and nine knots, with an ivory clasp."
62,"Brass toy cart with a removeable little brass hedgehog rider, pulled by a brass rooster. The cart is decorated with a noble family crest."
63,A dusty pink rose quartzite prism deeply etched with monogrammed initials.
64,A gold and azurite brooch in the shape of a knotted branch and berries.
65,A carved stone horned toad made of Labradorite weighing approximately 2 kilograms. The toad is comprised of four pieces and fit together like a jigsaw.
66,A scrap of folded paper containing a message. Every time it is folded and unfolded the message changes.
67,A pocket watch that won’t stop spinning.
68,A glass lens that makes the world appear black and white when looked through.
69,A jar with an eyeball floating inside that occasionally moves.
70,A solid sphere of ice that emits smoke but cannot melt.
71,A glove made of writhing vines.
72,"A copper, hexagonal coin. On one side is a smiling face and the words “remember to live”. On the other is a skull and the words “remember you will die”."
73,A platinum hatpin with an image of a sailing ship.
74,"A brass disk divided by a 23 pointed star, and inset 7 small glass beads around the edge, with a series of small gauged holes and notches drilled in the disk. They are astonishingly precise, and are a wonder of manufacturing skill and machined tolerances."
75,"A tiny wooden box with a hollow globe of crystal filled with quicksilver and a fine-sized crystal glass boat and boatman inside it. The boatman occasionally changes poses, and sometimes catches little crystal fish."
76,"A compact, rugged brass clock in a small travelling case, which tells the time accurately and never loses a minute so long as it is carefully wound each day. It accurately records the phases of the moon, as well as local noon, sunrise, sunset, star-rise, and local midnight."
77,"A rectangle of cloudy white crystal, edged with silver. Looking through it will always show the position of the sun on a cloudy day."
78,A complete deck of antique playing cards that once belonged to a royal family. The face of one of the queens has been scribbled out.
79,A fine-toothed comb carved from a beautiful seashell and inlaid with silver.
80,"A small bunch of grapes carved from a dark red crystal. Licking them or placing them in your mouth will give you the flavor of grapes, but no sustenance."
81,"A curiously made coin of magically toughened glass, stamped with obscure ritual imagery and filled with quicksilver, without seams or air bubbles. They are about 20% larger than the size of a standard gold coin, but five times thicker and weighing 5 times as much as a single coin (10 per pound). To a numismatist collector it may be worth anywhere from 30 to 150gp. It contains 30gp worth of quicksilver."
82,A polished looking-glass made from a thin-slab of pyrite the size of one's hand. The back is etched with a sort of symbolic nonsense that resists decipherment. It weighs 4 pounds.
83,"A heavy brass tube two feet long, and an inch across, in the shape of a stylized dragon's head and mouth."
84,"An small statue of an animal, with a mouthpiece or whistle, and all made from terra-cotta pottery. When one blows through the end, the statue sounds authentically like the animal it looks like."
85,A small crystal ball filled with smoke. The smoke changes color to reflect the weather in a specific location.
86,A scrap of parchment outlining the solution to a puzzle.
87,A broach made from a large opal and the bones of giant insects.
88,"A clear gem on a chain, that gradually changes color when exposed to different schools of magic."
89,"A bracelet of silver beads. If a bead is separated from the bracelet, it will always roll in the direction of the wearer."
90,A whistle that attracts small mammalian creatures when blown.
91,"A miniature trident, with fey patterns inscribed on it."
92,"A small porcelain frog, which releases a little spray of water if stroked along its back."
93,"A platinum gambling chip, with a small crescent piece carved out of the center."
94,"A smooth reddish river stone, with veins of quartz and gold running through it."
95,A tiny book made of exquisite porcelain reliefs.
96,A clockwork caterpillar that walks in ever widening spirals.
97,A functional small scale model of a cannon.
98,A set of bone dice in a leather and velvet case. The dice bear runes instead of numbers.
99,"A metal apple with individual segments made of lead, tin, copper, bronze, iron, silver, gold and platinum."
100,"A nose to chin mask, which forces the wearer to talk in whispers."
