d100,Entry
70,Artur Deghnd was killed because of mistaken identity. He now wants his name cleared and Artur Dehnt properly punished.
71,"Werarod of Cretten is the son of a local lord. Werarod became infatuated with a local peasant girl named Elyss. When she spurned him, he took her by force. When he realized his actions, he took his own life. Now he cannot rest until Elyss is happily married."
72,Drivia henpecked her husband until her death from wasting disease. She can't rest until her husband 'makes something of himself'.
73,"A pianist cut his own hands off to escape an abandoned dungeon, his keepers having long since fled. He didn't get far but he regretted every moment he spent without his dexterous, spindly hands. The ghosts asks that you find his rotting hands within the dungeon and bring them back to him. Bonus: the ghost will settle for any pair of hands you give him."
74,Rid the world of a magical item that is not easily destroyed.
75,Escort their spirit across the Astral Plane to lay their soul to rest.
76,"A pirate captain was burying his treasure when he happened upon a lovely Nymph. He sought her out each month and soon they both fell in love. He was already betrothed, but this was an arranged marriage and he wasn't happy. The Nymph and captain were to wed in secret when the jilted fiance shows up in a fiery flash. She cursed the cheating fiance to forever sail the seas and to never step foot on dry land. To the Nymph, she cursed her to become a wooden figurehead. The clause of the curse was this: True love would never be found as long as the white sands fall down. The captain piloted the 'Cursed Heart' ship and when he died, became a sorrowful ghost. Somewhere on another ship, the nymph comes alive only for one hour a night on a full moon. The cursed heart will always attack the Sea Nymph in order to take the wooden figurehead. The sorceress (jilted fiance) guarded the never-ending hourglass at the top of her tower. When she died, she became a Banshee guarding the last thing she loved... the curse."
77,Bring their bones to their ancestor's tomb.
78,"A young child was lost in a forest. His father searched desperately for him, but could never find him. He angrily began chopping down the forest, looking for his son. Now dead, his ghost will not rest until the entire forest is chopped down or burned to ash."
79,A royal ghost won't rest until their rightful heir sits upon the throne.
80,"A child lost in the winter passed away from the cold. They can't move on until they are reunited with their parents, but they were lost decades ago and don't remember who their parents are."
81,A soldiers ghost can't move on until the war is over and his side is at peace.
82,A wandering ghost won't be able to move on alone. They await another lost soul with which they can depart the world together.
83,Wants their body/bones burned and the ashes thrown into the air from the highest peak of the world.
84,They want to create a weapon worthy of a name.
85,"They want to make contact with a greater deity to learn where their soul will be sent. Regardless of the answer, they move on whether they want to or not."
86,They want to possesses a very powerful creature/person.
87,This ghost had no reflection and wants to see their face as it is now.
88,The ghost had started a religion based on a newly discovered deity. They want a church built and a small following of said religion.
89,They had died in the most heinous way. They will not rest until they see someone die in a worse way.
90,They never left their hometown in life. They want to see the rest of the world.
91,They never defeated their rival family. They cannot rest until that family lineage is completely erased from the world.
92,They lost their sight at a young age. They want to see the beauty of the world again.
93,A powerful wizard died after losing their spellbook. It had many powerful spells and if it were to fall into the wrong hands it could be terrible. They want you to find and destroy it.
94,A ghost of a shunned race has never been accepted in the city/kingdom they grew up in. They want the cities leader to recognize them and their kind as full fledged citizens.
95,A ghost is now stuck in this miserable afterlife for their greediness. They need to give away their vast amount of riches to charity in order to move on.
96,Finish a masterpiece work of art.
97,Finish crafting a magical contraption.
98,Finish the conversation they were having before they died.
99,Killing themselves never took. They need to figure out a way to destroy their soul as well.
100,They were creating a brand new board game/card game/table-top game. They need a group to test it out and make it a final product.
