d100,Entry
46,A prominent businessman in the timber industry goes missing. His body can be found with a tree growing from his chest in the forest.
47,"A righteous, or perhaps not so righteous warband/military unit, was completely slaughtered overnight in their fort. There are signs of a massive battle, but all the carnage is within the walls."
48,"First it was random children of peasants that had gone missing. When the city watch began investigating, the children of watchmen started disappearing! Can the PCs, who have been selected because they have no family, determine the cause of the child abductions? Without endangering any other children?"
49,"The entirety of a town gets invited to the noble‘s annual dinner party at his colossal mansion. Shortly after all the guests have arrived the noble has seemed to have disappeared, but his body was found later with a dagger in his back. Then the lower-class guests start disappearing and dying in various different ways. The killings seem to be gradually going up the social ladder."
50,"An adventurer asks you to solve their own murder. They and their party were exploring a dungeon, but got separated, then the adventurer was killed instantly, but the body was later found and resurrected. The only people that should have been in the dungeon were their own party."
51,In the evening a bard gives a song in gruesome detail of a brutal murder. The next day a body is discovered that is multiple days old but matches the description of the bard.
52,"In the middle of a stunning performance, the band's lead singer and bard were murdered! The culprit was covered by the mist and fog created by the band's crew as special effects, who could have killed them on stage in the middle of all this chaos?!"
53,"A little boy is found slain inside a locked room; his throat slit. A doll, his favorite, of a small woodcutter is found on the floor next to him. In its tiny hands is a tiny knife."
54,"A man is found dead in his home, his body completely drained of blood. All 1.5 gallons of his blood have been neatly stored in glass jars around the corpse."
55,"Corpses have been showing up near the town. They all have the odd quirk of the victims seemingly asleep, if it weren't for the total lack of all organs and the corpses randomly being cut into pieces with near surgical precision. Also, the town's medics are all clerics, with nobody having the sort of precision tools or skills to cut super finely through bone."
56,"The party receives a letter from a noble, calling them forth to his court. Soon, he reveals that a threat of murder is afoot. A devil walks among them, and the party must route them out."
57,"A family moved away from the village further into unsettled territory. It has been almost a month since anyone has heard from them, and it appears that after some madness and violent ends, the surviving family fled to a lighthouse owned by a relative."
58,"Tasked to retrieve an item from an old castle and village, the party, contractor, and an extra crew make their way there to loot the location. However, as storm sets in and a crew member is found dead, something foul is afoot."
59,"Seemingly out of nowhere, a screaming body comes plummeting towards the ground. It appears to have maybe been aimed at someone..."
60,"A few days after the party where the local woodworker was drunkenly bragging to a PC about how he has a shipment of rare wood used for detailing and instruments, he was found dead, murdered with his own wood axe."
61,"The party arrives at a port city and finds tensions running high. The local nobility, guild masters, working class and underworld are in a four-way standoff over expected payments, quality of products and working conditions: negotiations were already tense and then the first body showed up. So far, the victims have been the children of working-class leaders, but now the daughter of a prominent and universally respected guild master (thought to be the best chance at a peaceful resolution) has vanished. The cities ruling family has been silent on the matter, mercenaries are pouring into the city and maritime trade has dropped sharply..."
62,"The party wakes up in the crypts of a large town or city, with no recollection of their deaths and each carrying an invitation to a formal event, dated two days ago. Investigating the event's location reveals that it is currently locked up by the city guard to investigate a mass killing, the victims being the party members themselves!"
63,"Tragedy erupts in the quiet hamlet of Miramide, as the morning patrol finds the body of the woodworker, murdered in the night. All apparent evidence points to the murder being the work of Illid, a golem created for the express purpose of protecting Miramide."
64,A room at the local brothel was found covered in blood with drag marks leading to the nearby river.
65,"A series of brutal killings are going on, every month a new victim is found torn to shreds by a wild animal. At first the town suspected Mr. Lazuli as he got bitten by a werewolf last spring and the local priest hasn’t come to remove the curse. Only these killings take place on a New Moon, while Mr. Lazuli transforms on a full moon ..."
66,"The city has a serial killer on its hands! Maybe? There’s a new death every few weeks, but always killed in a new way, cut, shot, impaled, tortured. The strange thing is the victims look identical, not like anyone the police recognize. But the bodies are all the same man. Dying with a grin on his face ..."
67,"A lich wants you to solve his own murder. He insists on coming along with you to play “good cop, bad cop”."
68,"A mysterious man in red has been killing violent criminals and corrupt officials throughout the city. The mayor was positively gleeful at first, but ever since his cousin’s ties to a crime ring have been made public, he’s been pressing the guards and bounty hunters to find and capture the man in red under the mantra; “Vengeance is not justice!”."
69,"The man in red, a vigilante who’s been killing violent criminals and corrupt politicians in the city, has been found dead. The city guard aren’t touching this case because the man in red had powerful enemies, and it looks like one of them had him killed."
70,A person explodes in a gout of fire. Then 2 more nearby. A creature is possessing these victims before they ignite. Then the creature turns on the players! It could be that the victims (or at least one of them) are connected somehow. Are there more victims throughout the city? It's clear that the heroes must find this out before it happens again! Chasing the clues might reveal that the creature was summoned and specifically targeted (at least one of) the victims! What do the players do when they find out that original summoner is attacked? Did the victim(s) deserve it? Is the threat resolved? Does the creature make another attack?
71,"Household 'Otto-Servant' warforged automatons have recently become a trend among the well to do. The inventor sends a message to the players asking for help using an unassuming middleman as cutout. It seems the inventor fears for their life. Then the inventor is attacked by one their inventions! Rumors of the devices spread like wildfire, and copycat attacks seem to be happening! Can the players protect the life of the inventor, and prove that the automaton WASNT the source of the attack? Has the inventor died by the clamps of their own creation? Perhaps there is a competing product being used to ruin the inventor’s reputation! Maybe the inventor stole the idea, and the original creator is getting revenge?"
72,No Body at all. Victim of a disintegrate spell.
73,"A body is found with no visible injuries on the outside, but an autopsy reveals the internal organs have been burned and melted together. (Heat metal on a surgical implant.)"
74,"A man was seen crying in the middle of the street. When someone tried to pull him out, he screamed and collapsed dead. Autopsy reveals heart attack. (Mental Prison)."
75,"A large number of people have seemingly contracted a dancing sickness. They keep dancing no matter what. Ones without anyone to feed/water them die of thirst. (9th level mass suggestion, which lasts 'a year and a day')"
76,A wealthy brewer was found dead of extreme dehydration. (Blight)
77,A body is found with what appears to be a plant growing out of its mouth. (The victim consumed some seeds and a Druid caused them to rapidly grow inside the victim’s body.)
78,A man mysteriously dropped dead during a heated argument. It appears to be a freak accident but a detect magic spell reveals he was killed with psychic damage. (The other person in the argument killed him with vicious mockery.)
79,"A town guard is found dead having been cooked alive, but his armor is fine. Upon close examination the armor is slightly warped from extreme heat. (Heat Metal)"
80,Victim has several holes blown through their body; autopsy shows signs of acute blunt force trauma. (Magic Missile)
81,"Victim dropped dead for no apparent reason, autopsy showed that all vital organs seized up at once and their heart had completely decayed. (Power word: Kill)"
82,"Victim found foaming at mouth and showing signs of a Seizure, Autopsy found that their brain had boiled in their own skull (Synaptic Static/Mind Spike)"
83,"Victim’s lower half found but other half has not been located, cut appears completely clean having gone through their armor with little apparent resistance (A creative use of Gateway/Astral Gate)"
84,"A house was destroyed and all inside were killed. Strangely, half of the house exploded outward in an incredible fireball, the embers of which are still too hot to approach. While the other half was encased in a sheet of ice so cold that touching it with a body part requires the skin to be pulled off to let go. If you pass a high arcana check you realize that the murder was most likely caused by someone using the demon Maxwell."
85,"Body frozen solid, found in an environment not cold enough to freeze it."
86,"Body melted into goo. Only identifiable by the clothing, equipment & jewelry, that the victim had on them at the time."
87,Body partially phased through a wall or other solid object.
88,"Body transformed into sand. Only identifiable by the clothing, equipment, & jewelry, that the victim had on them at the time."
89,"Skeletal remains of someone who was alive just a day ago. Identified by clothing, equipment, and bone injuries that the victim suffered during life."
90,"Witnesses say the victim was struck by lightning, while inside a building."
91,"Body found in an alley behind a well-known tavern that is frequented by high societal patrons who don’t want to know or seen visiting with specific types of people. (Thieves, murderers for hire, drug dealers. Dealers of other material that is not quite common to keep around.)"
92,"A body apparently exploded into large chunks, a significant amount of mess on the floor but no blood on the walls. (Flesh to stone, topple the statue, dispel)."
93,"In the city’s main temple, a well-known noble is found dead in the inner sanctum. It is known there is only one way in or out, and it is by being accompanied by a member of the temple’s high court. Upon investigation, the cause of death appears to hanging (broken neck and rope burn around the neck) but there is no rope to be found and nowhere in the sanctum to be hung from. (Rope Trick)."
94,"A roughly circular area in the slums of the city contains an emaciated corpse, several dead rats, and a good number of dead insects. (Circle of Death)."
95,A body that clearly feel from the sky in the middle of town with no trees or real buildings around.
96,"An archeological dig at an ancient tomb has been going on for weeks. But the crew are no fools. They've brought in experts and priests to avoid traps and curses the place has on it, as well as hiring the party to take out any other threats that lurk in the depths. It's good pay for several days of killing bulettes, cloakers, umber hulks, and the occasional mummy that may arise, etc. There are protests by the locals of disturbing a sacred site, vocal but nothing violent. The head archeologists are very secretive however, and seem to be searching for something specific, dismissive of other treasures. Then, one night, the main team is found dead in their study area, lungs filled with sand, clutching at their latest notes."
97,"The dock-master has gone missing for several days, and the harbor is in disarray, wondering where he went. That is, until a group of children find his body tied up and beaten to death in their secret cove hideout that they thought only they knew about. The bruises look like they were made by a fist wearing rings on each finger. In the dock-master's inside coat pocket is a letter blackmailing him with instructions to find and come to this cove."
98,"A hermit witch is both feared and revered by the locals for her seemingly dark powers but also the magical potions and tonics she sells to the village to fix various mundane problems like hair loss or love interests. Last night, a horrible, blood-curdling scream was heard throughout the entire village, coming from the remote hut. Upon investigation, the witch is nowhere to be found, except with a message scrawled on blood on the floor: 'THE BLASPHEMOUS AND HER FLOCK SHALL BE PUNISHED'. The villagers are begging you to find the culprit and save them from whatever is coming."
99,"A collection of incredibly realistic sculptures are found in the courtyard of a local noble's home, delivered with a single letter signed 'W'. Each statue depicts a different member of his family in the exact garbs they were wearing the night before, when they had coincidentally been at a dinner party. They had returned much later than expected..."
100,An experienced herbalist is found dead in their ransacked store. There is no sign of struggle.
